	ID	Optimism7days.6	Optimism6months.6	Optimism10years.6	Optimistic2.6	Optimistic4.6	Optimistic7.6
0	0	Covid infection rates; income	Covid infection rates; seeing friends and family; increased income	retirement	61.0	100.0	100.0
1	1	Life is always a mixed bag - all in all we are very blessed to live at this time in this geolocation	More will be known and or resolved	So many new technologies that will improve life	59.0	75.0	90.0
2	2	money; friends; food;	sad; bad health; land masses	weather; public;	83.0	89.0	96.0
3	3	My immediate health and financial situation	Current state of the country with regard to COVID-19	Current state of the planet with regard to climate change and environmental destruction	50.0	70.0	70.0
4	4	I am one step closer to getting the vaccine.	I hope to have had the vaccine.	Hoping that the virus is a thing of the past.	35.0	55.0	85.0
5	5	Nothing's really going to change in the next week.	Everyone who wants to be vaccinated should be; so the economy should be reopened.	I think there will be a lot of societal changes over the next ten years.	63.0	71.0	84.0
6	6	mumblings today by propaganda outlets indicate that falling numbers of covid cases are leveling off; so I worry that increasing restrictions in regards to simply living one's life are likely in the cards soon; supposed mutant variants of covid being transmitted. or	financial crisis and possibly collapse seems possible. No doubt we will almost certainly be at war in the middle east by then; barring some miracle. Radical leftist agenda being carried out by the puppet administration in the WH will be much farther along; again; barring some miracle.	unelected; unaccountable  power brokers using current events to overhaul every aspect of society and how people live could be nearly completed by this time; and will almost certainly not be enjoyable for any of the common serfs	45.0	35.0	35.0
7	7						
8	8	How my date goes tomorrow night.	How the vaccine is working.	How my career progresses.	87.0	95.0	95.0
9	9	weather	covid-19 vaccine; summer	technology	100.0	100.0	100.0
10	10	control of pandemic	control of pandemic	taking significant action to mitigate climate change	50.0	80.0	90.0
11	11	That things are not going to get better until more people get vaccinate.	That; hopefully; in six months; the vaccination rollout will ge moving right along and more and more people are getting vaccinated.	Too far in the future to know.  Or to even guess.	10.0	40.0	80.0
12	12						
13	13	Our society is still functioning fairly well. My income will increase due to COVID stimulus. There will be a general return to pre COVID normalcy.	We likely will have returned to pre COVID normalcy. We will begin to face the consequence of the crushing debt load that we have created to support COVID relief.	Our society has become to dysfunctional. Our governement will begin to function much llke that of the typical banana republic.	90.0	80.0	20.0
14	14	nothing	end of pandemic restrictions	the growth of wealth inequality	50.0	50.0	42.0
15	15						
16	16	More vaccine will be available	We will be able to visit family	Things will e back to normal	1.0	16.0	89.0
17	17	chemotherapy	surgery	multiple myeloma	41.0	67.0	35.0
18	18	paying my credit card bill; need to raise some money`	i ahould have my vaccine; more wiring jobs; so looking up	we'll both be retired and sailing on our boat in the caribbean; so things are looking way up`	0.0	60.0	94.0
19	19	how likely the positivity rate is to improve	How quickly the country can return to normal	global warming; climate change; scarcity of resources	4.0	50.0	91.0
20	20	The steady decline in new cases and the ramping up of vaccine distribution	The continued spreading of COVID varients and the large number of people foregoing vaccination	Natural aging and the return of inflation combined with possible Trump style leaders back in power	62.0	73.0	89.0
21	21	I'm in quarantine from a potential exposure; so in 7 days I can leave my house	We will be vaccinated	COVID should be behind us	59.0	92.0	100.0
22	22	Life will still be much the same as it is right now.	The covid situation should be much improved.	The continued decline of the US as a functional country.	40.0	70.0	20.0
23	23	whether I will have work completed	If I will still be in business	Will we survive this mess that we are in	50.0	39.0	20.0
24	24	We are still in the midst of the pandemic	Vaccinations will be in full swing	Hopefully the stock market will have made major gains	35.0	50.0	85.0
25	25						
26	26	How well my family will be doing	How well my family and the community will be doing; specifically the virus situation	The virus situaltion and how well my family will be doing.	88.0	54.0	50.0
27	27	no changes	will anything change? or will it get worse?	It's hard to say what might or might not happen 10 years from now.	1.0	9.0	40.0
28	28						
29	29						
30	30						
31	31	the weather	finances	finances; heath	61.0	64.0	100.0
32	32	Things are beginning to look up but we're not there yet.	I am hoping most will have been vaccinated and we can begin to get back to normal.	I hope we will have overcome current issues and are being proactive enough that the future looks brighter.	14.0	52.0	89.0
33	33	Life in general	Life in general	Life in general	51.0	53.0	55.0
34	34						
35	35						
36	36	How I will feel; how my family friends will be doing; how my neighbors will be doing; how many more bad  things for our country will Biden do	How I will feel; how my family friends will be doing; how my neighbors will be doing; how many more bad  things for our country will Biden do	If I will be alive or not; how the country will be doing or if we even still have a country; how my family and friends will be doing	62.0	62.0	24.0
37	37	all planets are direct (none are retrograde); which is very good.	going places more freely.	art and writing creativity	99.0	99.0	100.0
38	38	I am hopeful that I will get some things done around the house that I've been putting off.	I expect to have been vaccinated and able to go out.	I am hopeful that the country/world will continue to recover.	81.0	89.0	89.0
39	39	What I'll be doing; how likely it is that something bad will happen; what the weather will be like.	My financial situation; what could go wrong in society in that time.	My increasing age and possible health issues; finances; global warming.	50.0	51.0	33.0
40	40	More covid-19 shots actually being given.	Most of the country being vaccinated to prevent the spread of Covid-19.	I think about peace improving in the world and a virus free world.	50.0	80.0	90.0
41	41	I think things will basically remain the same.	I think things might get better pandemic wise; but I think my situation may remain pretty constant.	I'll be getting older; if I'm still alive; I also think the world is heading in a downward spiral and things will get worse overall; in many aspects	50.0	50.0	35.0
42	42	money	money health	money health age	51.0	52.0	50.0
43	43	pandemic	pandemic	alot of war	51.0	69.0	69.0
44	44	local covid recovery	national and local covid recovery	climate control	31.0	46.0	85.0
45	45	Being (un)able to obtain a vaccine; political climate; being unable to move to a better location.	Hopefully being settled in a new location by then; having taken my vaccine(s); political climate improving; economy improving; life slowly returning back to normal or what will become the new normal.	Hopefully no more COVID-19 or other pandemics; trying to be optimistic about my health and being alive in 10 years; being in a location I enjoy; hopefully having enough money to live comfortably.	40.0	70.0	70.0
46	46						
47	47	Not much will change in that time.	Conditions relating to the pandemic will improve in that time.	The cultural rot best seen in the rise of the authoritarian; intolerant; woke left will likely be significantly worse by then.	54.0	55.0	39.0
48	48						
49	49	I am thinking about how the COVID-19 pandemic will play out.	I am thinking that more people will be vaccinated so the COVID-19 infection rates should be dropping.	I am thinking about my personal financial situation and how I think it will improve.	20.0	45.0	65.0
50	50						
51	51	I'm going on a trip to see my family. I'm hoping my current flare-up of chronic illness will have calmed	I hope that we will have bought a house by then and be in the process of making ourselves at home.	Rampant inflation; society continuing to slide into immorality and insanity.	35.0	55.0	14.0
52	52	Getting close to my second Covid shot. Weather getting warmer!	Covid much more under control with much improved vaccine availability. Life much more normal and social.	My Social Security will have started; and my finances will be in much better shape.	41.0	69.0	68.0
53	53	My finances and what might happen to the economy.	How much things will get back to normal in society and it looks like the economy may crash.	I am hoping I can get my goals of setting up my own firm and making it profitable so I will not have to worry about money and not living life to the full.	10.0	35.0	75.0
54	54	I think about how the numbers in my state have been steadily going down as of late.	I think about how more and more people will have the vaccine in this time and hopefully more normalcy will be seen.	I think about how we will go through rough economic times but it will get better and hopefully be improved in a decade.	50.0	57.0	83.0
55	55	more vaccines; more help	getting Covid under control; visiting relkatives	retiring	86.0	91.0	90.0
56	56	that very few things will change	restoring some ordewr to life	older yet probably more deep issues	40.0	64.0	75.0
57	57	money and not being able to get the vaccine.	life and money and accessibility and how easy or hard life is in getting things.	Getting older and getting poorer and getting screwed over more by the banks; governments and those in power.	1.0	1.0	1.0
58	58	more vaccines are happening and we are moving closer to her immunity	hope we have most people vaccinated in world by then	hope we learn from this situation and stay clear of future pandemics or know how to deal with them quickly	87.0	100.0	55.0
59	59	still stuck at home	I will be vaccinated	I will be dead	11.0	38.0	82.0
60	60	Whether I will have work	How the world is	Where I am in my life	11.0	12.0	12.0
61	61						
62	62	Day to day things like what TV shows I might be watching or what I'll buy for groceries next week.	I think that my savings will have increased by then and most other things will be the same as now.	Political problems; economic problems; etc that will effect the whole country.	72.0	73.0	63.0
63	63						
64	64	Nothing new is expected in 7 days	more people vaccinated	We're back to normal. covid is long behind us	50.0	79.0	69.0
65	65	I think about how they are sending children back to school full time and how the virus might get worse	I think about how the virus might not be spreading nearly as much and life might be somewhat normal	I think about how divided people are now and I fear it will be worse 10 years from now.	21.0	31.0	35.0
66	66	Weather will be warmer.	People will be seeing each other in person again.	The world will be worse economically.	36.0	43.0	22.0
67	67	Work	Vacation	Home ownership	18.0	10.0	100.0
68	68	i expect things to be the same	i expect things to be the same	uncertainty	50.0	50.0	0.0
69	69	covid deaths	covid deaths and transmissions	economy	11.0	70.0	93.0
70	70	I am worried about finances for the next several days but hopeful something postive may happen	I am worried that unexpected things will happen because of politics and things will just get worse	I am worried the far left elements of society will change the country ina way that endangers us	51.0	39.0	10.0
71	71						
72	72	Right wing extremists might be planning another attack. More strains of Covid are emerging.	I think most people will have received the vaccine by then and cases should be less. I think kids will be able to go back to school in the fall. Businesses will be reopening so more people will be employed.	It could really go either way. There's so much turmoil in the world. Covid should be under control. A lot depends on who is controlling the governments of the world in 10 years.	20.0	60.0	95.0
73	73	Covid; work	Advancement at work	Learning and growing	11.0	26.0	48.0
74	74	Finishing a work project	Finding more work	Having a newly established career	26.0	45.0	59.0
75	75	My physical and mental health	COVID;  the US government; physical and mental health	Climate change; the US government; my age; physical and mental health	50.0	30.0	20.0
76	76	COVID; warmer weather	Summer and COVID	Environmental damage;cost of living	73.0	82.0	76.0
77	77						
78	78	things happening around my home	things happening in the country	the ebb and flow of things	29.0	80.0	80.0
79	79						
80	80	current state of events is unlikely to change in 7 days	i think that is enough time to see significant change. many more people will be vaccinated so perhaps more things will open up.	I think about  a time where the pandemic is behind us. I think about social change and the progress we've achieved and how much more we can do in the next 10 years.	40.0	60.0	92.0
81	81	I think that I'll make it through another work week and I'm grateful for income.	I pray that many more people will have received the COVID vaccine and the tides will begin to turn.	I'll be happy to be alive and in good health. I will continue to paint and have good connections with people.	5.0	30.0	54.0
82	82	nothing major will happen	nothing major will happen	nothing major will happen	94.0	92.0	92.0
83	83	The state of the country with respect to COVID-19 and my job situation.	The state of the country with respect to COVID-19 and my job situation.	My job situation and the state of our finances.	24.0	50.0	76.0
84	84						
85	85	my thoughts of the news cycle	the state of the world	if something else will occur	0.0	0.0	100.0
86	86						
87	87	I think about how things are today and imagine they won't be that much different; it could be a good or bad day.	I think about whether or not any progress will be made regarding covid vaccinations and politics.	Climate change.	50.0	50.0	29.0
88	88	No change In life; remote work; zoom with family; no travel	Getting the vaccine	Big change In life including retirement;   lots of in person trips  with family; lots of personal travel	8.0	53.0	91.0
89	89	My health	My health money just getting through the months without worry	My mortality and the worlds	71.0	71.0	71.0
90	90	more people getting vaccinated and closer to normalcy	Amost all people being vaccinated who want to and much closer to normalcy	Quite far out in the future; older; new concerns related to personal health; climate change or financial.	45.0	69.0	68.0
91	91	Depends on how I'm feeling or what's going on.	I don't know what will be going on in six months.	I don't know what will be happening ten years from now in my life.	50.0	50.0	50.0
92	92	Rent will be paid; I am not too short of cash; feeling reasonably well; doing fine for groceries; staying safe.	We should be further ahead with the national vaccination program; and seeing a more manifest change in tone in the national outlook with the Biden administration established in government and policies in effect.	I believe it will become clearer the nature of our challenges socially; environmentally; with regard to climate change; international relations; and interconnectedness generally; and about appropriate actions to address and meet these challenges accordingly.  But at the same time it is hard to be certain just what may happen between now and then; or what new challenges and conflicts might develop; so my optimism is tempered.	78.0	85.0	79.0
93	93	warmer weather	warmer weather; covid gone	better society	65.0	75.0	75.0
94	94	Nothing will change in such a short time span.	the summer weather; getting outdoors	the arc of history tends upward towards progress. God has some surprises left for us.	56.0	68.0	100.0
95	95						
96	96	The general trends of politics; my own life experiences; hope for the future.	The general trends of politics; my own life experiences; hope for the future.	The general trends of politics; my own life experiences; hope for the future.	100.0	100.0	100.0
97	97	what is going on with covid situation	how much the covid situation will have changed	How the covid situation will be long gone	49.0	57.0	68.0
98	98	Seeing my girlfriend makes me optimistic.	The status of covid and vaccinations.	Who is president and what measures are in place.	40.0	80.0	45.0
99	99						
100	100						
101	101	fate	opportunities	life	99.0	100.0	100.0
102	102	Nice home; health; family	Nice home; health; family; travel	Nice home; health; family; travel	100.0	100.0	100.0
103	103						
104	104						
105	105	completing my work assignment	the economy	the climate and world peace	13.0	23.0	96.0
106	106						
107	107	The fact that it seems very tangible to me and close to fruition. It still doesn't take away the fact 500;000 Americans have perished from Covid-19; but I see it as being overwhelmingly optimistic. It's more of a spiritual feeling and not a physical/rational feeling.	We're now playing craps. Your guess is as good as mine. I thought about the fact that 180 days is very far from now. Anything can happen in that time. I'm 50%.	"I can barely ""see"" 2 weeks from now. I thought about going to my last NBA game (in-person) with thousands of people not wearing masks and how 2 weeks later local governments were doing shelter in place with nightly curfews. 10 years is a lot of ground to cover."	92.0	75.0	50.0
108	108	7 days from now will be a weekend which is nice (I don't particularly like my job; so weekdays are tough)	I'm hoping to be back in a job I enjoy as more things open up and get back to normal when the vaccine becomes more available.	I hope things will be better; but also worry about things like climate change.	10.0	50.0	70.0
109	109						
110	110						
111	111	going to lunch with a friend and then going shoppini	A cruise	honestly sure	100.0	50.0	85.0
112	112	I just don't know anymore. Everyday seems to just go by and I'm not getting anywhere in life. I'm frustrated but trying to have a good outlook on things but it's getting hard.	I just don't know anymore. Everyday seems to just go by and I'm not getting anywhere in life. I'm frustrated but trying to have a good outlook on things but it's getting hard.	I'm hoping in 10 years from now my whole life is completely different. So different that I am not even able to imagine it.	51.0	51.0	52.0
113	113						
114	114						
115	115	I am optimistic because more vaccines are being distributed and because our country is back on track with the Biden administration.  My personal life is also very good.	I think the country will have made more improvements since the problems of the last administration.  I think my family and I will have received the vaccine giving us more freedom.  I also think most of our friends will have been vaccinated.	I think the country will be doing well if we can keep sane people in office and not the likes of the Trump administration.  I am optimistic that we will but worry a little because of the horror that was the last 4 years.  Personally; my husband and I will be aging but our daughter will be doing well and bringing us more joy.	90.0	100.0	100.0
116	116						
117	117						
118	118						
119	119	Everything is going to stay the same.	More COVID vaccinations	Hopefully no remains of COVID left	40.0	69.0	87.0
120	120						
121	121	Everything will be fine	Everything will be fine	Everything will be fine	54.0	57.0	64.0
122	122						
123	123	more businesses opening up	more laws being passed	better clarification	67.0	85.0	91.0
124	124	I think about how much closer I am to getting the vaccine. I will be feel better the closer it gets.	I think about the pandemic winding down. That makes me feel good.	I think about having a nice house that I'm saving for. That will make me happy.	100.0	100.0	100.0
125	125						
126	126	Covid19 infections going down	Things getting back to normal	better cooperation between people	38.0	64.0	88.0
127	127						
128	128				42.0	55.0	65.0
129	129						
130	130						
131	131	closer to biden going to jail	closer to biden going to jail	closer to biden going to jail	52.0	52.0	78.0
132	132	Generally that things won't change in seven days.	Hopefully the majority of people that want the vaccine will have been able to get vaccinated.	Unsure about 10 years from now; I don't think I will be here by then.	11.0	28.0	100.0
133	133						
134	134	I see that Covid rates are declining each day that's something to be happy about.	We don't know how things will be during this time. A covid variant has been spreading rapidly.	With this Covid variant spreading rapidly people shoudn't wait to get the vaccine are within this time it could be a disaster to us humans.	50.0	19.0	45.0
135	135						
136	136						
137	137						
138	138						
139	139						
140	140	We will be closer to the end of Covid	We will be closer to the end of Covid	Covid will be gone; kids will be out; will be fully retired	100.0	100.0	100.0
141	141						
142	142	The stresses and difficulties in my day-to-day life	Issues related to money and my living situation	The way things generally improve over time; e.g. new and better products due to technology	6.0	30.0	55.0
143	143						
144	144						
145	145	I still will not have gotten my second shot of the vaccine.	Trump will be trying to make a comeback.	There will be lots of Qanon idiots around.	17.0	69.0	85.0
146	146	I am pessimistic due to surgery scheduled in the next week for a family member.	I am somewhat more optimistic than currently because family member's healing process will be well underway.	I think about my finances and hope that I will be better able to live comfortably.	30.0	70.0	80.0
147	147	Tested negative for COVID-19	Working full time and earning money	Living in retirement	67.0	82.0	97.0
148	148	The virus and the pandemic.	Vaccine distribution will be nearly complete; and hopefully we can return to normal life.	Life will be different 10 years from now.  I think things will be interesting.	15.0	85.0	85.0
149	149						
150	150	more test that are positive	wider vaccine distribution	covid becomes a vaccine included with the flu ones	30.0	75.0	100.0
151	151	Warmer Days In The Month Of March	Being Happier In A Relationship	Being Much Older	40.0	50.0	45.0
152	152	Need to still be careful	I will be better off then	Things should be back to normal and life good again	26.0	71.0	97.0
153	153	Finances	Finances	Age	55.0	66.0	35.0
154	154	An exam that I have been studying for is 7 days from now and I'm very sure I will pass.	Being vaccinated and being able to go out more than I do but still with safety features.	Having graduated college; I will be in a career that satisfies me and making good money.	80.0	87.0	94.0
155	155						
156	156	same old; same old	same old; same old	retired or dead	50.0	50.0	33.0
157	157						
158	158	accelerated vaccination	mass vaccination; getting back to normal	all our other issues: climate; dismantling of democracy	39.0	69.0	40.0
159	159	Covid	Covod	If things will be completely normal	10.0	45.0	100.0
160	160	More of the same. Restrictions are being lifted; so things are going to get worse.	Feeling a little better about things; but I still don't foresee us being out of the woods.	Honestly can't say. Climate change might have a real; meaningful impact on my life by then.	10.0	42.0	54.0
161	161						
162	162	don't expect much change	I expect to be vaccinated	nothing much	51.0	75.0	77.0
163	163						
164	164	Things are going good. March is near.	It will be warmer weather.	I am not secure in my getting older and living independently.	86.0	83.0	28.0
165	165	I just take a day at a time and always look for the best in everything	I just always look for the best in everything	I always look for the best in everything and feel that everything will work out for the best	100.0	100.0	100.0
166	166	7 days from now will be the same as today	I want to hope that it will be better but assume it probably will not be	should hopefully be a different world in 10 years	2.0	5.0	73.0
167	167						
168	168	How much warmer will be the weather temperature.	Will be entering the last month of summer; somewhat a downer.	After another low period for the nation; things will once again improve.	80.0	75.0	60.0
169	169	THE THINGS I HAVE TO DO EVERY DAY RELATED TO MY WORK TASKS AND FAMILY TIME	THE VACCINE BEING WIDELY DISTRUBUTED AND COVID-19 RESTRICTIONS BEING LIFTED	THE FACT I WILL LIKELY BE RETIRED AND DOING THINGS WITH MY WIFE AND FAMILY	49.0	82.0	92.0
170	170	bills due	prices of goods	I probably wont be here	24.0	32.0	63.0
171	171						
172	172						
173	173	Pay day is coming up.  That always makes me feel good.	The economy getting better	Hopefully someone of the problems were facing now will be resolved with the new administration.	54.0	80.0	94.0
174	174						
175	175	I Like to keep a positive attitude. That is what comes to mind.	I think about how I can get my next promotion at work.	I think about how global warming may have fucked things up for future generations	75.0	90.0	90.0
176	176						
177	177						
178	178	accomplishing more things on my to-do list	lessening debt from what it is now; life a little more normal; advancements against the pandemic; Trump having less impact on political activity	being out of debt; letting go of the things that worry me today	19.0	61.0	82.0
179	179						
180	180	Life is wonderful and will be wonderful in 7 days. Spring will be here soon.	Many people from the government who should be arrested will probably be in jail or at least out of office within 6 months from now.	Life is wonderful and will be wonderful in 10 years.	100.0	100.0	100.0
181	181	how health i m	movies	being alive	15.0	17.0	40.0
182	182	deaths due to COVID19	deaths due to COVID19	climate change	17.0	28.0	67.0
183	183	Still going to work; and hopefully my kids go back to school more than 2 days a week	Hopefully things are mostly normal; but I can't wait to stop wearing masks	My kids will all be 'adults' in 10 years; which I hope is a good thing	23.0	52.0	79.0
184	184	Finances	Finances	Environment	51.0	26.0	0.0
185	185	The things that I am looking forward to.	It will ne great weather; and I will be spending a lot of time outdoors with my family.	If our country survives the biden administration; then things can ony get better if we get a GOOD president again.	94.0	71.0	89.0
186	186	The progress towards ending the pandemic.	The progress towards ending the pandemic.	Improvements in the quality of life due to technology.	78.0	89.0	93.0
187	187						
188	188						
189	189	the sameness of all my days	I think things will be exactly the same	pollution; complete corporate takeover; invasive monitoring; increasing poverty	50.0	43.0	34.0
190	190	The stress I am currently dealing with.	I will be in another state hopefully and don't know if it will work out.	The world is getting worse every year.	7.0	29.0	35.0
191	191						
192	192	every day brings a few more inoculated people	most people will be inoculated and new covid cases will be rare	mostly guessing but i tend to be more optimistic than pessimistic	60.0	70.0	70.0
193	193	my overall attitude with life	COVID recovery	Economy being much better	73.0	84.0	95.0
194	194	things will be pretty much the same; well; but still getting better. I am positive	things will hopefully be even better with the health and world situation	more goals will have been achieved. Things will be better off in the world as for health; finances will be better; enjoyment more	66.0	81.0	86.0
195	195	I'm not sure if this means as to covid or in general; so I'm answering in general. Things will be about the same.	Hopefully things will be better. We are moving and should be settled in.	This depends a lot on the political situation in the U.S. & whether or not trump & his followers are no longer in the picture.	10.0	40.0	70.0
196	196						
197	197	the covid relief package	the mutations of the virus	the devastation of the environment	10.0	19.0	1.0
198	198	The political climate in my country	The political climate in my country	This system is not going to get any better	0.0	0.0	45.0
199	199	That it shows the number of pandemic patients is begin to show sign of improvement.	That we can start moving to get back to a normal state	That we don't ever have a recurrent with what happen 10 years ago.	50.0	60.0	100.0
200	200	i think things will be the exact same	i think there will be a lot of people vaccinated by then which will be good for the economy	i think; or hope; this will be all behind us	0.0	20.0	84.0
201	201	seeing things return to some normal	being able to gather in a group aagain	knowing better how to cope; beinbg better prepared	53.0	65.0	52.0
202	202						
203	203	Assuming you meant optimism related to virus control; I don't believe there will be much change; but what there is should be positive	Seems like a good chance that a large number will be vaccinated by then	I have no real data and there is much that could happen; but by my nature; optimistic	71.0	84.0	60.0
204	204						
205	205	Lots of bills due	New source of income	I am getting old but not yet frail	69.0	84.0	90.0
206	206						
207	207	Inability to get proper health care	at least it will be warmer	That's a lot of time for things to change	27.0	41.0	80.0
208	208						
209	209	Hoping to pay off some bills	Probably will be back in financial struggle	Financial struggle	19.0	46.0	97.0
210	210						
211	211						
212	212						
213	213	spring is coming	summer is coming/Covid vaccine will be more widespread	hopefully will be past pandemic and economy will improve and people will have learned to get along better	29.0	42.0	55.0
214	214	18 years of being seizure free optimistic	will I be able to take a vacation this year	health concerns	50.0	64.0	51.0
215	215						
216	216	How I'm personally feeling; mood wise	How I'm personally feeling.	how I'm personally feeling	0.0	0.0	0.0
217	217	The decline of newly defined COVID cases.	The decline of hospitalizations due to covid-19	I am optimistic about life in general when it comes to any pandemic that may happen again because we all know what to do in case it happens again.	73.0	100.0	100.0
218	218	Anything; life's issues; family matters etc.	Life's issues; family matters	Life's issues; family matters	95.0	97.0	98.0
219	219						
220	220	health options	money shortfall	age	7.0	11.0	19.0
221	221	we still need to be careful	hope the virus is a little more under control	my health and hoping i did well raising my grandson	50.0	50.0	50.0
222	222	Daily routine and finding happiness in what I do.	Impact of both the vaccine and new Federal administration's impact.  Will be Sumeer with more opportunities to be outside.	Settled into a routine suitable for retirement.  Ability to travel and enjoy the outdoors as well as social events.	66.0	78.0	92.0
223	223	lack of access to vaccine	number of people not willing to be vaccinated	fear of republicans being in control of government	21.0	25.0	41.0
224	224	Working at the job I have now but also starting the job search for my new career.  Being paid at the job I have now so I can pay some bills.  Doing my taxes so I can hopefully get my stimulus check soon.	I will hopefully be working at a new job that I enjoy and that pays me well.  I will hopefully be able to start getting out of debt.	When I think about 10 years from now; I picture myself in a new career that I enjoy and I am able to live comfortably.	82.0	89.0	95.0
225	225	the economy	the economy;  going to wars with other countries	wars; poverty	50.0	50.0	50.0
226	226	Family	Family	Family	100.0	100.0	100.0
227	227	The weather will be getting warmer;  I'll be able to walk daily again.  I am getting my hair cut this week	It will be summer.   I love summer	I should still be alive; the pandemic should be gone.  We may be a totalitarian country by then	100.0	100.0	100.0
228	228						
229	229	will get 2nd vaccine in 7 days. Optimistic about it	herd immunity	being able to breathe freely	29.0	40.0	80.0
230	230	politics; extremism; kookery	politics; extremism; kookery	politics; extremism; kookery	50.0	51.0	51.0
231	231	Everyday life; work; daily tasks	Possible end of the pandemic; improved economy	Personal future; the future of the country; possible climate change issues	55.0	70.0	65.0
