	ID	Optimism7days.6	Optimism6months.6	Optimism10years.6	Optimistic2.6	Optimistic4.6	Optimistic7.6
499	499	national issues	progress improving those issues	life improvements	35.0	60.0	90.0
500	500	Closer to getting the vaccine; positivity rates/hospitalizations falling	Most people will have received vaccine; in-person visits again; but economy still challenging	Climate change events will be worse; not sure if country will be cohesive; if we have 4 more years of Trump(or Jr.)	60.0	73.0	60.0
501	501						
502	502						
503	503	Vaccine is available	We are free from covid-19	we are back to pre-covid situation.	70.0	100.0	100.0
504	504	Think about current; and guess about future	I think about furute	I guess it.	17.0	15.0	11.0
505	505	that its not enough time for any meaningful difference to be made w vaccines	that more people will have vaccines and we will return to a more normal state	that advancements in medical science and technology will make the world a better and more equitable place	8.0	54.0	85.0
506	506	well cpack is this weekend and i have to hear about trump so i feel awful	trump and the inserections being violent	america will be fucked and i maybe dead by then or in bad health	38.0	39.0	18.0
507	507						
508	508	Right now I am in physical therapy for a broken elbow. I think it will get better.	I think I will be back to work and my financial situation will be better.	Now that makes me think of Covid and it will be gone by then.	77.0	94.0	95.0
509	509	"Washington politicians still refuse to work together to bring this nation together. They bring up new ""excuses"" for delaying action. They need to have their paychecks withheld like the rest of the country."	I feel there's going to be a major stock market crash and recession. Who knows how long the vaccines will last. How strong with the next level of variants be.	Hopefully 10 years will be long enough to remove the liars and cheaters from Washington and get some good people in there who will work together and want this country back together more than they want their party to win.	3.0	3.0	67.0
510	510						
511	511						
512	512	more vaccines being administered; financial situation slowly improving	a lot more people getting vaccines; better economy; things opening up more	somewhat back to the new normal; able to move about freely	91.0	96.0	95.0
513	513						
514	514	I hope I still have a job.	I wonder how much impact the pandemic will still have.	I worry about the downward spiral of the climate.	5.0	30.0	37.0
515	515	I think about how society is doing; is there an uptick in sickness; and is there political strife.	I think about the state of COVID; as well as myself and family.	I think about myself; friends and family.	55.0	75.0	95.0
516	516	My Wife's Birthday	Summer	Outer Space	92.0	92.0	100.0
517	517	My health; the weather; infection rates	Possibility of having been vaccinated; being able to travel to see my family; progress with my hobbies	My career; my living arrangements	15.0	55.0	90.0
518	518						
519	519	I think about job security.	I think about my future and money saved up/	I think about my mental health.	100.0	35.0	51.0
520	520						
521	521	nothing really different from today	many people vaccinated; partial return to normalcy	vaccines are effectoive; healthy cris over; but new crises happening	16.0	60.0	75.0
522	522	Staying healthy.	Staying healthy	Staying healthy	21.0	34.0	65.0
523	523						
524	524	working more; earning more money	most people will be vaccinated; I will be close to being married	coronavirus should just be a memory but I worry about global warming	75.0	90.0	95.0
525	525	Going out and playing tennis when the weather is good	Being able to travel and see my grandson	That I am still alive at 82	82.0	92.0	89.0
526	526	Everything is pretty much turning into order as of now so i hope in the next 7 days it'll be better	Economy	Safer World; cautionous and experienced people; developed technology	40.0	56.0	100.0
527	527	Catch or not catch the Covid	Getting the vaccine or not	Another pandemic or not. War or not?	75.0	79.0	83.0
528	528	Catch or not catch the Covid	Getting the vaccine or not	Another pandemic or not. War or not?	75.0	79.0	83.0
529	529	I expect that nothing much will have changed in just seven days and things will be the same.	I think that there might be some loosening of restrictions as more people are vaccinated but that life overall will not be normalized yet.	I am fairly pessimistic about what things will be like 10 years from now if the direction the country is now taking continues.	3.0	16.0	4.0
530	530						
531	531	nothing is really changing; people are tired	I see a lot of fallout from the vaccine....negatively	the world changes everyday and this is just the start.  Worse is yet to come	1.0	15.0	38.0
532	532						
533	533						
534	534	Advances in health; science; the world; my community;  and my health.	Advances in health; science; the world; my community; my health; and an end to COVID-19	Advances in health; science; the world; my community; my health; an end to COVID-19; and financial independence.	100.0	100.0	100.0
535	535	Finances	Finances	Age	10.0	40.0	60.0
536	536						
537	537	sucess	girlfriend	money	99.0	100.0	100.0
538	538						
539	539	Getting closer to Sprig	Summer vacation	Retirement	100.0	100.0	100.0
540	540						
541	541	that's not far	vaccinations	family members	51.0	66.0	89.0
542	542	weather	freedom	normalcy	73.0	79.0	89.0
543	543						
544	544	Need to open up society	Need to stop trampling on people's rights	Dr. Fauci may not be alive	13.0	22.0	28.0
545	545	Pandemic; continuing misinformation; continuing polarization of society.	Optimistic about vaccine and potential for positive change by the new administration; pessimistic about pandemic; misinformation; polarization.	Very pessimistic about climate change; disease; war; polarization; nearly everything.	5.0	25.0	50.0
546	546	work seeing friends	friends; summer activities	friends family	89.0	91.0	90.0
547	547	how things go at work	if covid 19 cases are down	my health during retirement	40.0	50.0	70.0
548	548						
549	549	More vaccinations; less COVID deaths and hospitalizations	Lessening of chances to acquire COVID.  More safety in public places	Impossible to tell what will happen; but always want to be hopeful.	20.0	70.0	49.0
550	550	The miserable disconnect and division of my fellows	the jubilance that we no longer have a moron as president	that maybe our younger generation will see that we're better working together than working against each other	59.0	80.0	100.0
551	551	nothing changes and I will have to hear about people whose houses were ruined by the Freeze in Texas	that I will not earn the money I used to earn	that climate change will be worse and the US will be worse off too	73.0	76.0	16.0
552	552	Things will be better	Optimism	Not sure	71.0	77.0	88.0
553	553	State of pandemic; my personal stance in life	State of pandemic; my personal stance in life	My future	50.0	60.0	85.0
554	554	will things be worse than they are now?	will things be worse than they are now?	Will the country be less divided than it is now	81.0	61.0	91.0
555	555						
556	556	stupidity of people	pandemic easing	I will be dead not a part of it	46.0	69.0	80.0
557	557	More people are getting vaccinated. I will close to getting my second dose of the COVID vaccine at that time.	"I think more people will be vaccinated; and the disease will be more under control. We will be able to live a little more ""normally."""	I think the pandemic will be over. I think we will be able to live normally.	35.0	45.0	95.0
558	558						
559	559	progress with the vaccine	the pandemic possibly getting under control around the world	climate change	15.0	40.0	40.0
560	560	pandemic and hate will continue to rage	pandemic will have lessened but hate continues	current pandemic under control.  optimistic that cooler heads prevail	17.0	40.0	93.0
561	561						
562	562						
563	563	My bank account. My children's health.	The vaccine rollout; the expectation COVID will decline more and more.	My bank account. Owning a home.	96.0	99.0	100.0
564	564	More people will have received the vaccine	More people will have received the vaccine. Warmer weather	More people will have received the vaccine	51.0	65.0	94.0
565	565	If I'll get my work projects done in time and if I'll start feeling better physically.	How work will be going; if I'll be back at college; and if the COVID restrictions will be relaxed somewhat.	What sort of jobs I might be doing and where I might be living; what my life in general might be like; what sort of politicians might be elected and what sort of policies might be enacted.	60.0	70.0	85.0
566	566	The same thing that's happening now--people being jerks and not following proper COVID precautions	More people will be vaccinated so those same jerks who don't follow COVID precautions have less of an impact	Who knows what'll happen to this world 10 years from now with war; famine; climate change.	0.0	29.0	50.0
567	567						
568	568	That spring is closer.	Hopefully I'll have a Covid-19 vaccine by then.	Hopefully things in the world will be a little bit better.	61.0	80.0	88.0
569	569	capitalism will still destroy us	capitalism will still destroy us	capitalism will still destroy us	16.0	53.0	72.0
570	570						
571	571	Virus	Vaccine	My career	30.0	60.0	87.0
572	572	It wil just be like any other day.	Ill be recovering from surgery	That i will be older and forgetful	100.0	90.0	59.0
573	573	Relaxation and no work	Moved to new home	No masks	50.0	75.0	100.0
574	574	Whether anything significant will happen	Whether anything significant will happen	Whether anything significant will happen	61.0	63.0	64.0
575	575	continuation of COVID	continuation of COVID	aftermath of COVID and effects of climat change	0.0	40.0	90.0
576	576	I'll have received my first injection of the COVID vaccine	a majority of the population should have received the vaccine and things should be getting back to normal.	I will be fully retired and enjoying my free time	80.0	100.0	85.0
577	577	nothing really	i dont really think about the future	i dont really think about the future	49.0	49.0	51.0
578	578	Access to a vaccine and how many loved ones have received the vaccine.	Possibility of being vaccinated but still wearing a mask.	Hopefully; the pandemic will be history and the economy rebounded... people are back to work; school and thriving.	25.0	61.0	93.0
579	579						
580	580	work stress	good health from the covid vaccine	the health and happiness of my kids	70.0	90.0	100.0
581	581	Every day is a good day.	Every day is a good day.	Every day is a good day. Although I am concerned about the individual rights and freedoms of individuals to speak their minds without retribution for their livelihoods	87.0	90.0	92.0
582	582	How the Biden administration will continue to exploit the pandemic for their own purposes.	How the Biden administration will continue to exploit the pandemic for their own purposes.	How the Left will continue to exploit the pandemic for their own purposes.	20.0	25.0	50.0
583	583						
584	584	Improving conditions	Back to normal	Stability and growth	21.0	65.0	88.0
585	585						
586	586	How many more people will have been able to get vaccinated; all of the mail delivery services in the U.S. getting closer to back on schedule; I'll personally be finished with the first part of my doctoral qualifying exams and will know if I've been approved to move onto the last part of the process	I will be living in a more comfortable place; I will be able to see my parents every day; I will know if I passed my doctoral qualifying exams and hopefully will be working on my dissertation already; I think that most people in the top tiers of the vaccine rollout plan will have had the opportunity to be vaccinated; I hope that more people will decide to receive the vaccine by 6 months from now after seeing so many other people getting it (not very optimistic about that; though)	I think climate change is only going to get worse; and it's hard to know how much more damage will have been caused by humans 10 years from now (I think it will be a lot); I will be in my 40s and that is very terrifying because I haven't gotten to a point in my adult life where I'm happy yet (I haven't met a partner; e.g.)	80.0	85.0	67.0
587	587	Humanity is stupid.  I hate human society.	I will not do anything to help with the covid situation.	Other things will happen; whether it's related to disease or not.	0.0	0.0	0.0
588	588	The weather and the loosening of restrictions (regarding the pandemic).	The number of people vaccinated and the weather and people wanting to travel more.	Advances in medicine.	53.0	53.0	92.0
589	589						
590	590	me; doing the best that i could	new job	travelling	83.0	93.0	96.0
591	591	Pessimistic Our city being overcome with tourists	Optimistic to enjoying life more with covid getting better with the caccine	Pessimistic on what new obstacle do we have to overcome now with our health	20.0	40.0	67.0
592	592						
593	593						
594	594	brain game	mental stability	strenth	32.0	30.0	38.0
595	595						
596	596						
597	597						
598	598	the prevalence of covid-19 cases; the economy	the prevalence of covid-19 cases; the economy; the ease of restrictions due to covid-19	better economy; less political divisiveness	50.0	75.0	90.0
599	599						
600	600						
601	601	Mainly my own personal circumstances and what's going on in my life day to day.	"That a lot of people will have had the vaccine and things will really be getting back to ""normal"""	The pandemic will be over and life will be much like what it was like a year ago.	65.0	90.0	95.0
602	602	no significant changes	progress on curing pandemic	pandemic resolved many scientific improvements	57.0	63.0	75.0
603	603						
604	604	the weather warming and no more snow	Summer - finding a new job	dealing with climate change - social evolution	60.0	80.0	80.0
605	605	The uprising to crush the communist threat and leftist stupidity grows stronger every day.	Leftist crimes against humanity will be uncovered; the light shined on their evil.	By this point; leftists will all be dead or rehabilitated.	70.0	93.0	100.0
606	606	keep working to bring money home	vaccine is wilderly available	new era	70.0	80.0	100.0
607	607						
608	608	I consider how much of a routine it is and 7 days from now would barely change much of the dynamic and routine i am currently facing.	I am optimistic about the current state of the world in terms of COVID and how things may start or would be back to normal.	I would be optimistic about my financial prospects; and my family.	50.0	70.0	89.0
609	609						
610	610	nothing; I don't understand the questioon series. O/P in regards to exactly what?	please see above	My health will be failing	50.0	50.0	35.0
611	611	How current issues we face will evolve over time	How current issues we face will evolve over time	How current issues we face will evolve over time	38.0	68.0	64.0
612	612						
613	613						
614	614	I pretty much know what my schedule will be in 7 days; and there is nothing at this time that is pressing or stressful.	I feel that things regarding COVID will not drastically improve in 6 months; so I am on the pessimistic side.	The future in general looks bleak; so I am guarded and not hopeful that things will be better in 10 years.	9.0	31.0	49.0
615	615	Schools reopened	Getting vaccine	Normalcy	8.0	48.0	92.0
616	616	Schools reopened	Getting vaccine	Normalcy	8.0	48.0	92.0
617	617	COVID	COVID and more people having had the complete vaccine	I honestly can't think that far ahead so my thoughts on that are the same as five years; etc.	8.0	40.0	50.0
618	618	VACATION IN FLORIDA	Herd immunity	Less civil unrest	70.0	80.0	50.0
619	619	Life and daily routine	Going out in public areas	Have a loving family and we'll situated	65.0	83.0	91.0
620	620						
621	621	day to day life	travelling	having a good life settled	90.0	100.0	100.0
622	622						
623	623						
624	624	family problems	family	health reasons	36.0	43.0	24.0
625	625						
626	626						
627	627						
628	628						
629	629						
630	630	Number of infections is decreasing	More people will be vaccinated	Will I still be around?	60.0	70.0	75.0
631	631	Every day chores and bills that need to be paid at the end of the month.	Career; investment and health opportunities.	Thoughts about business and where I will be then.	37.0	78.0	100.0
632	632						
633	633						
634	634	Finishing college classes	Finishing school year	Establishing a career	28.0	54.0	54.0
635	635	Family; my general health; our general living situation.	Family; my general health; our general living situation.	Family; smart planning.	81.0	85.0	94.0
636	636	My husband will also have his first vaccine and the weather is improving; social life a little less worrisome.	Life will get back to more normal.	We may get more help towards solving environmental problems and other human conditions for people; especially my family.	20.0	83.0	90.0
637	637	I will be planning to get vaccine and go to beach	Going to see all my children together	Hopefully being alive still; I have survived 9 yrs so far from 2 cancers.	78.0	85.0	89.0
638	638	I think about how the Biden administration is changing things like abortion; that are not good for Americans.	I think about how the Biden administration is changing things like abortion; that are not good for Americans.	I hope and pray that we will return back to God!!	100.0	9.0	100.0
639	639	my obligations and work duties; COVID	obligations; duties; ability to travel; COVID	health; financual uncertainties	69.0	83.0	64.0
640	640				88.0	76.0	64.0
641	641						
642	642	health; things to do; availability of vaccine	health; finances	health and finances; housing	79.0	85.0	100.0
643	643						
644	644	daily activities that keep me from going crazy	travel; seeing friends; dining out	old age	51.0	82.0	100.0
645	645	My housemate is moving out and I don't like that change but I wilkl adjust	Hopefully I'll be vaccinated and things will be gettting back to normal.	I'm wondering how many people I love who are older will be dying by then.	60.0	69.0	55.0
646	646						
647	647	the weather and its affect on sickness	herd immunity	the economy	51.0	23.0	
648	648	I think about my children becoming exposed to Covid or becoming sick.  I think about the health and safety of everyone.	I think about the economy and everyone in our country recovering both with their health and their jobs.	I wonder what the toll on people will be in 10 years after this terrible year of crisis.	16.0	16.0	45.0
649	649	Unemployment	Coronavirus will be more uner control	I will be close to retirement	17.0	62.0	61.0
650	650						
651	651						
652	652	COVID and the current situation	The fact that most people will have the vaccine	The fact that I will hopefully have gotten many more promotions	22.0	56.0	82.0
653	653	coronavirus presence	coronavirus presence	Freedom	17.0	34.0	84.0
654	654	Nothing specific	Hope to travel	General opttimism	72.0	85.0	89.0
655	655	Pandemic will be about the same.  Vaccinations will be much further along.  United States will be making much more progress in the right direction.	"Pandemic will be really winding down; vaccinations will be on an impressive trajectory; ""things"" will begin to approach ""normal."""	Hopefully the human race will be more successful at preserving itself.	63.0	85.0	100.0
656	656						
657	657						
658	658						
659	659						
660	660	Wear mask	No need to wear masks	Relax	31.0	61.0	100.0
661	661						
662	662	pandemic; weather; bills	vaccine; pandemic	financial security	15.0	50.0	64.0
663	663	warmer weather	it will be summer.  lots of outdoor activity time	i will be closer to retirement	53.0	74.0	100.0
664	664						
665	665	i anticipate another suge with the UK-variant ( B.1.1.7) - there is a chance that the hospitals will be overwhelmed if we have a surge proportinate to England's	i get my second dose in two days; in 6 months; i anticipate my son and his family will get vaccinated and a 3rd booster by then as well - i am retired; but my son and his wife are nit making much money - i anticipate that cnditions/work will improvee for them	the virus should be behind us and medicine/technology will be better able to fight the next pandemic (for example; improvements on mRNA type break throughs)	53.0	60.0	100.0
666	666						
667	667	how much time til my husband gets his second vaccine; whether I'll be feeling better	whether I'll have the vaccine; whether the antivax nutcases will cause trouble	global warming; political dissent	50.0	70.0	80.0
668	668	non president biden	non president biden	Possibly a real president fairly elected.	18.0	13.0	54.0
669	669	COVID variants appearing and infecting people	The vaccine not lasting for coverage	Global warming	11.0	21.0	51.0
670	670	My own life.	Moving to South Carolina.	My dogs.	100.0	100.0	100.0
671	671						
672	672						
673	673						
674	674						
675	675						
676	676						
677	677						
678	678						
679	679						
680	680						
681	681						
682	682	Money	Life; money; work	Life; money; work	51.0	53.0	95.0
683	683						
684	684						
685	685						
686	686						
687	687	A new month and new possible opportunities	Slight pessimistic thoughts of if things will stay the same and no positive growth occurs within me and my surroundings	Fear of complete stagnation and even more decline in lifestyle but also hope that I can turn my life around completely	52.0	70.0	77.0
688	688						
689	689	Possibly catching covid; financial issues	Possibly catching covid and having a long recovery; suffering from health problems beyond what I already deal with	Worsening global warming; more war	4.0	21.0	9.0
690	690						
691	691						
692	692						
693	693						
694	694	Hopefully more people get the vaccine and its made available to more people.	Things start to go back to normal.	I want to be able to go to concerts.	60.0	70.0	100.0
695	695						
696	696	days	weather	weather	85.0	23.0	50.0
697	697						
698	698						
699	699						
700	700	More people vaccinated. More things getting back to normal.	Hopefully everyone back to work; etc.	Hopefully this pandemic will be a faint memory.	9.0	78.0	100.0
701	701						
702	702						
703	703	How many more vaccines have been administered	The dwindling amount of COVID cases	Not wearing a mask	90.0	99.0	100.0
704	704						
705	705	Taxes; taxes; taxes. Whether I can bring in enough money as a self-emploded freelanceer.	Whether I can bring in enough money as a self-emploded freelanceer.	Whether I can make enough maoney to provide for my wife and I.	50.0	51.0	50.0
706	706						
707	707						
708	708	Covid 19	The pandemic and the economic situation	Health and income	32.0	43.0	53.0
709	709						
710	710	mostly my work	Covid	Too far away	52.0	61.0	51.0
711	711						
712	712						
713	713	Economy	Economy	Economy	8.0	7.0	24.0
714	714						
715	715						
716	716						
717	717						
718	718	My monthly bills will be paid for another month	I hope to have started a new job and more financially stable	I hope to have started my own business and be much more financially secure.	25.0	60.0	95.0
719	719						
720	720						
721	721						
722	722	My next paycheck; and scheduled fun hobbies	People not getting vaccinated for COVID	Global warming; inequality	81.0	89.0	87.0
723	723	knowledge	technology	technology plus knowledge	35.0	35.0	43.0
724	724						
725	725						
726	726	The thing will change.	I will do better.	I will change my future.	37.0	59.0	92.0
727	727						
728	728						
729	729						
730	730						
731	731						
732	732	The COVID-19 getting better	Covid-19 getting better; having not to go back on lock down	Covid will be a thing of the pass	40.0	50.0	
733	733	More people getting vaccinated;	Decrease in coronavirus cases and economic rebound	Ability to identify viruses easily and better equipped to handle this	71.0	86.0	87.0
734	734						
735	735						
736	736						
737	737						
738	738						
739	739						
740	740	Conditions will continue to stay the same - there probably is not going to be much change in this time period.	Hopefully; more people will be vaccinated and maybe less instances of infections.	Hopefully by this time; we will have had a much better control over this disease and it only occurs seasonally (such as the seasonal flu) and is significantly less severe.	10.0	15.0	65.0
741	741	Will that class have enough people to start?	Will I have a life?	Am I going to be living with family? Will I have found someone? How much of my TBI will stay; what new fun hurdles will I have?	5.0	40.0	100.0
742	742	what can change in 7 days?	It will be high Summer. That will be nice. Also it will be my birthday.	I don't think I will be alive 10 years from now.	50.0	50.0	50.0
743	743						
744	744	I am hoping to hear word on a stimulus check coming our way. I am cautiously optimistic.	I am much more optimistic for 6 months from now because we will be in warmer weather and hopefully with widely available vaccines.	I am hoping ten years from now I will be divorced and living on my own; surrounded by friends with no pandemc in sight.	15.0	57.0	96.0
745	745						
746	746	virus variants; case loads;	vaccine production	this will be behind us and lessons will have been learned	6.0	43.0	67.0
747	747	NOT MUCH WILL CHANGE	THINGS MAY BE BETTER; I THINK I CAN RETURN TO WORK AND BE VACCINATED BY THEN	CLIMATE CHANGE MAY BE WORSE BUT I THINK ILL PERSONALLY BE IN A BETTER POSITION	8.0	83.0	
748	748						
749	749	Contagion remains at dangerous levels	Many people are vaccinated	Retirement	61.0	77.0	87.0
750	750						
751	751						
752	752						
753	753	How will the weather be?	Will I be vaccinated against coronavirus?	What will the state of my country/world be in 10 years from now?	45.0	60.0	68.0
754	754	bills	food and supplies	                                                                                 job opportunities ;housing	75.0	81.0	99.0
755	755	Changes; which don't seem like it'll happen that quickly	Maybe I'll have a job by then	Maybe I'll have a family by then	15.0	33.0	75.0
756	756						
757	757						
758	758						
759	759	My personal comfort and mental health.	Same reasons; Maybe signs the pandemic is gaining a permanent downward trend.	The pandemic will be over and everyone will be back to normal. Hopefully the world will be more at peace.	55.0	67.0	90.0
760	760						
761	761						
762	762	What comes to mind are just the immediate things that personally affect me like how much work needs done.	I considered that the vaccine will be widely available and travel and businesses will begin to resume normal activities.	I feel that in 10 years global warming will be worse; populations too large and limited supplies available.	71.0	80.0	54.0
763	763						
764	764	covid	covid	covid vaccine	15.0	22.0	23.0
765	765						
766	766						
767	767	Nil	Vaccine	Economic	8.0	23.0	55.0
768	768						
769	769	boredom	having more money is optimistic	getting older makes me pessimistic	34.0	66.0	81.0
770	770						
771	771	My health; and the health of my family.	The economic recovery of our country.	Whether I'll still be alive; and how my health will be then.	43.0	63.0	71.0
772	772						
773	773	The overwhelming stress i am currently facing; plus my current financial status. This is not bound to change in so short a time.	Things ought to be somewhat better in 6 months because i am making plans and acting towards goals; so i expect personal growth and change	Hopefully then i am successful in all ramifications and  i am at the point were i can enjoy my wealth	30.0	63.0	80.0
774	774						
775	775						
776	776						
777	777						
778	778						
779	779						
780	780						
781	781						
782	782						
783	783	very optimistic	Somewhat pessimistic	very optimistic	78.0	88.0	78.0
784	784	More and more people will get vaccinated and things will start to get better	More and more people will get vaccinated and things will be much better than they are now	People will have forgotten about COVID and we will be carrying on with our regular lives finding something new to worry about	16.0	60.0	97.0
785	785						
786	786	work	long term employment; things going back to normal	stability of my country	68.0	59.0	51.0
787	787						
788	788						
789	789						
790	790						
791	791						
792	792						
793	793						
794	794						
795	795	Too much reading the newspapers.	The work productive people are trying to do to improve their lives.	The trends of the last century are not changing.	51.0	60.0	59.0
796	796						
797	797						
798	798						
799	799						
800	800						
801	801	midterms season	the pandemic	my own future	5.0	67.0	67.0
802	802	my personal situation not being able to see my mom	more people being vaccinated and hopefully being able to visit my mom	my health; hopefully moving from my current location and being in a better place emotionally	21.0	65.0	87.0
803	803						
804	804	Doing great things because spring is coming	The future and purchasing a new car	My children moving on with their lives	100.0	100.0	90.0
805	805						
806	806						
807	807						
808	808	I will be more comfortable with outdoor activities.	My financial situation will be better from now.	I will be a established person in my society.	51.0	86.0	97.0
809	809						
810	810						
811	811						
812	812						
813	813						
814	814						
815	815						
816	816						
817	817						
818	818						
819	819						
820	820						
821	821						
822	822						
823	823						
824	824						
825	825						
826	826						
827	827						
828	828						
829	829						
830	830						
831	831						
832	832						
833	833						
834	834						
835	835						
836	836	I don't think things will change much in the next week	I hope that vaccines are widely available and effective	It's difficult to imagine what will happen that far out	11.0	40.0	50.0
837	837						
838	838						
839	839						
840	840						
841	841	still too many people without access to vaccine	still too many people without access to vaccine	Over population leading to war	60.0	80.0	85.0
842	842						
843	843						
844	844						
845	845						
846	846	I tend to focus on the solution rather than the problem.	I acknowledge the good things I have around me.	I surround myself with positive people who help me to appreciate the good in situations and in life in general.	60.0	65.0	100.0
847	847						
848	848						
849	849						
850	850						
851	851	anxious about the blatant rise of authoritarianism in the US	domestic terrorism increasing with impunity	too hard to predict; I hope much better	29.0	62.0	80.0
852	852	Depression; getting covid; losing income	depression; getting covid; losing income; gaining weight	hoping I'm dead by then.	9.0	9.0	1.0
853	853						
854	854						
855	855						
856	856	Exams; money; grades	not having a job; covid still happening	not being secure; still suffering under capitalism/white america	2.0	10.0	85.0
857	857						
858	858						
859	859						
860	860						
861	861						
862	862						
863	863						
864	864						
865	865						
866	866	Being alive and enjoying every moment in gratitude	summer turning to fall; birthdays; cool weather;	Personal growth; grandchildren; getting married; traveling; enjoying life to the fullest	100.0	100.0	100.0
867	867						
868	868						
869	869						
870	870						
871	871	economy	economy	Racism	21.0	87.0	11.0
872	872						
873	873	I start each day on a positive note.	I spend more time with positive people to stay hopeful.	I focus on good things as challenges are part of life.	70.0	80.0	100.0
874	874						
875	875						
876	876	How I will be able to stay alive till then	My way of living	How successful I will be in wealth and well-being	85.0	81.0	68.0
877	877						
878	878	School	Career situations	I decent life	50.0	71.0	100.0
879	879						
880	880						
881	881						
882	882						
883	883						
884	884	the joy of life	the joy of life	the joy of life	89.0	96.0	97.0
885	885						
886	886						
887	887						
888	888						
889	889	my environment	everyone around me	my future	2.0	1.0	1.0
890	890	I have health conditions that are not getting better.. so just day after day of the same crap..	similar as above	hope that maybe we will have some political changes that will help this country and the planet	3.0	9.0	52.0
891	891						
892	892						
893	893						
894	894						
895	895						
896	896						
897	897						
898	898						
899	899						
900	900						
901	901						
902	902						
903	903						
904	904						
905	905						
906	906						
907	907						
908	908						
909	909						
910	910	Covid numbers	Travel	Will other pandemics be around	15.0	44.0	96.0
911	911	Nothing	Nothing	Nothing	68.0	76.0	75.0
912	912						
913	913						
914	914	I think of work and my duties.	I think of the end of the pandemic.	I think future technologies.	84.0	91.0	95.0
915	915						
916	916						
917	917						
918	918						
919	919						
920	920						
